"Date","Close","Open","High","Low","Volume","Change"
"2023-9-21","84.11","83.86","84.78","83.76","10.44M","-1.90%"
"2023-9-20","85.74","86.97","87.50","85.65","8.89M","-1.57%"
"2023-9-19","87.11","86.12","87.88","86.08","9.21M","0.10%"
"2023-9-18","87.02","86.15","87.17","85.39","9.09M","-0.06%"
"2023-9-15","87.07","87.77","88.22","86.82","10.15M","-1.06%"
"2023-9-14","88.00","88.55","88.60","87.44","8.56M","0.41%"
"2023-9-13","87.64","87.94","88.29","87.38","10.46M","-0.75%"
"2023-9-12","88.30","88.19","89.96","88.18","10.21M","-0.46%"
"2023-9-11","88.71","89.73","90.35","87.71","15.72M","-1.49%"
"2023-9-8","90.05","89.60","90.30","88.73","10.34M","0.09%"
"2023-9-7","89.97","91.64","91.76","88.96","18.44M","-4.74%"
"2023-9-6","94.45","94.15","95.80","94.13","9.75M","-0.21%"
"2023-9-5","94.65","94.53","95.39","94.07","9.88M","-0.38%"
"2023-9-1","95.01","94.55","96.68","94.52","17.47M","2.27%"
"2023-8-31","92.90","92.98","93.36","92.16","12.48M","-0.80%"
"2023-8-30","93.65","92.55","94.25","92.47","13.29M","-0.40%"
"2023-8-29","94.03","93.45","94.10","92.34","16.09M","1.94%"
"2023-8-28","92.24","91.50","92.77","91.29","14.33M","2.69%"
"2023-8-25","89.82","89.25","90.04","88.27","11.38M","0.80%"
"2023-8-24","89.11","90.49","90.92","89.04","10.22M","-0.81%"
"2023-8-23","89.84","88.37","90.59","88.31","11.87M","2.00%"
"2023-8-22","88.08","89.28","89.49","87.86","11.20M","-0.55%"
"2023-8-21","88.57","87.60","88.82","87.22","12.03M","0.61%"
"2023-8-18","88.03","87.78","88.36","86.86","20.42M","-2.89%"
"2023-8-17","90.65","91.94","91.95","90.26","14.99M","1.72%"
"2023-8-16","89.12","89.63","90.50","88.29","23.03M","-2.70%"
"2023-8-15","91.59","93.00","93.01","90.74","14.65M","-2.00%"
"2023-8-14","93.46","94.24","94.45","92.53","16.85M","-2.36%"
"2023-8-11","95.72","97.34","97.65","94.34","25.22M","-3.52%"
"2023-8-10","99.21","98.31","101.84","97.12","52.20M","4.60%"
"2023-8-9","94.85","96.03","96.30","94.08","18.28M","0.67%"
"2023-8-8","94.22","93.51","94.48","92.92","13.50M","-2.42%"
"2023-8-7","96.56","97.78","97.80","95.03","13.89M","-0.35%"
"2023-8-4","96.90","97.74","98.49","96.69","13.48M","-0.70%"
"2023-8-3","97.58","96.71","98.49","96.58","14.89M","2.64%"
"2023-8-2","95.07","97.72","97.74","94.56","19.17M","-5.02%"
"2023-8-1","100.10","99.87","101.16","99.30","14.15M","-2.02%"
"2023-7-31","102.16","99.79","102.50","99.72","17.41M","1.60%"
"2023-7-28","100.55","98.07","101.22","97.96","31.96M","5.35%"
"2023-7-27","95.44","97.75","97.99","95.16","18.33M","-1.75%"
"2023-7-26","97.14","94.95","97.54","94.84","15.43M","2.27%"
"2023-7-25","94.98","98.17","98.49","94.61","25.11M","-1.42%"
"2023-7-24","96.35","92.07","97.47","91.30","33.16M","4.54%"
"2023-7-21","92.17","92.89","93.23","91.54","13.90M","0.29%"
"2023-7-20","91.90","91.69","93.12","91.35","14.75M","-0.21%"
"2023-7-19","92.09","93.57","94.71","92.09","16.64M","0.98%"
"2023-7-18","91.20","91.54","92.21","90.15","19.76M","-2.37%"
"2023-7-17","93.41","92.25","93.55","91.04","16.45M","-1.22%"
"2023-7-14","94.56","95.22","96.09","94.24","18.90M","-2.12%"
"2023-7-13","96.61","95.03","97.00","94.60","23.31M","2.78%"
"2023-7-12","94.00","94.11","95.03","92.55","23.78M","2.41%"
"2023-7-11","91.79","91.02","92.32","89.01","19.74M","1.36%"
"2023-7-10","90.56","90.05","92.04","89.60","25.19M","0.01%"
"2023-7-7","90.55","86.76","91.57","86.63","46.99M","8.00%"
"2023-7-6","83.84","83.12","83.95","82.64","12.88M","-0.55%"
"2023-7-5","84.30","83.98","84.69","82.82","11.20M","0.27%"
"2023-7-3","84.07","84.89","85.59","84.00","11.51M","0.86%"
"2023-6-30","83.35","83.23","84.23","83.01","12.17M","-0.24%"
"2023-6-29","83.55","83.39","83.99","83.00","13.36M","-1.23%"
"2023-6-28","84.59","85.75","85.75","84.38","14.11M","-2.92%"
"2023-6-27","87.13","86.82","87.61","86.71","13.86M","1.94%"
"2023-6-26","85.47","85.32","86.71","85.21","10.58M","0.65%"
"2023-6-23","84.92","85.81","85.94","84.37","14.91M","-2.27%"
