"Date","Close","Open","High","Low","Volume","Change"
"2023-10-13","251.12","258.90","259.60","250.22","102.30M","-2.99%"
"2023-10-12","258.87","262.92","265.41","256.63","111.51M","-1.57%"
"2023-10-11","262.99","266.20","268.60","260.90","103.39M","-0.24%"
"2023-10-10","263.62","257.75","268.94","257.65","122.10M","1.52%"
"2023-10-9","259.67","255.31","261.36","252.05","101.38M","-0.33%"
"2023-10-6","260.53","253.98","261.65","250.65","118.12M","0.18%"
"2023-10-5","260.05","260.00","263.60","256.25","118.78M","-0.43%"
"2023-10-4","261.16","248.14","261.86","247.60","128.88M","5.93%"
"2023-10-3","246.53","248.61","250.02","244.45","101.52M","-2.02%"
"2023-10-2","251.60","244.81","254.28","242.62","123.81M","0.55%"
"2023-9-29","250.22","250.00","254.77","246.35","128.52M","1.56%"
"2023-9-28","246.38","240.02","247.55","238.65","116.51M","2.44%"
"2023-9-27","240.50","244.26","245.33","234.58","136.06M","-1.48%"
"2023-9-26","244.12","242.98","249.55","241.66","101.53M","-1.16%"
"2023-9-25","246.99","243.38","247.10","238.31","104.09M","0.86%"
"2023-9-22","244.88","257.40","257.79","244.48","127.52M","-4.23%"
"2023-9-21","255.70","257.85","260.86","254.21","119.13M","-2.62%"
"2023-9-20","262.59","267.04","273.93","262.46","121.79M","-1.47%"
"2023-9-19","266.50","264.35","267.85","261.20","103.16M","0.46%"
"2023-9-18","265.28","271.16","271.44","263.76","100.73M","-3.32%"
"2023-9-15","274.39","277.55","278.98","271.00","133.69M","-0.60%"
"2023-9-14","276.04","271.32","276.71","270.42","107.09M","1.75%"
"2023-9-13","271.30","270.07","274.98","268.10","111.17M","1.43%"
"2023-9-12","267.48","270.76","278.39","266.60","135.44M","-2.23%"
"2023-9-11","273.58","264.27","274.85","260.61","173.39M","10.09%"
"2023-9-8","248.50","251.22","256.52","246.67","118.56M","-1.19%"
"2023-9-7","251.49","245.07","252.81","243.26","114.03M","-0.17%"
"2023-9-6","251.92","255.13","255.39","245.06","116.51M","-1.78%"
"2023-9-5","256.49","245.00","258.00","244.86","128.78M","4.69%"
"2023-9-1","245.01","257.26","259.08","242.01","132.54M","-5.06%"
"2023-8-31","258.08","255.98","261.18","255.05","108.14M","0.46%"
"2023-8-30","256.90","254.20","260.51","250.59","121.66M","-0.11%"
"2023-8-29","257.18","238.58","257.48","237.77","133.13M","7.69%"
"2023-8-28","238.82","242.58","244.38","235.35","107.29M","0.10%"
"2023-8-25","238.59","231.31","239.00","230.35","106.61M","3.72%"
"2023-8-24","230.04","238.66","238.92","228.18","99.19M","-2.88%"
"2023-8-23","236.86","229.34","238.98","229.29","98.61M","1.57%"
"2023-8-22","233.19","240.25","240.82","229.55","130.23M","0.83%"
"2023-8-21","231.28","221.55","232.13","220.58","134.51M","7.33%"
"2023-8-18","215.49","214.12","217.58","212.36","136.28M","-1.70%"
"2023-8-17","219.22","226.06","226.74","218.83","119.13M","-2.83%"
"2023-8-16","225.60","228.02","233.97","225.38","111.54M","-3.16%"
"2023-8-15","232.96","238.73","240.50","232.61","87.34M","-2.84%"
"2023-8-14","239.76","235.70","240.66","233.75","98.60M","-1.19%"
"2023-8-11","242.65","241.77","243.79","238.02","99.04M","-1.10%"
"2023-8-10","245.34","245.40","251.80","243.00","109.04M","1.30%"
"2023-8-9","242.19","250.87","251.10","241.90","99.98M","-3.01%"
"2023-8-8","249.70","247.45","250.92","245.01","96.36M","-0.70%"
"2023-8-7","251.45","251.45","253.65","242.76","111.10M","-0.95%"
"2023-8-4","253.86","260.97","264.77","253.11","99.54M","-2.11%"
"2023-8-3","259.32","252.04","260.49","252.00","96.95M","2.05%"
"2023-8-2","254.11","255.57","259.52","250.49","100.98M","-2.67%"
"2023-8-1","261.07","266.26","266.47","260.25","82.50M","-2.38%"
"2023-7-31","267.43","267.48","269.08","263.78","84.27M","0.37%"
"2023-7-28","266.44","259.86","267.25","258.23","111.45M","4.20%"
"2023-7-27","255.71","268.31","269.13","255.30","103.70M","-3.27%"
"2023-7-26","264.35","263.25","268.04","261.75","95.86M","-0.35%"
"2023-7-25","265.28","272.38","272.90","265.00","112.76M","-1.40%"
"2023-7-24","269.06","255.85","269.85","254.12","137.01M","3.48%"
"2023-7-21","260.02","268.00","268.00","255.80","161.80M","-1.10%"
"2023-7-20","262.90","279.56","280.93","261.20","175.16M","-9.74%"
"2023-7-19","291.26","296.04","299.29","289.52","142.36M","-0.71%"
"2023-7-18","293.34","290.15","295.26","286.01","111.59M","1.02%"
"2023-7-17","290.38","286.63","292.23","283.57","130.18M","3.20%"
"2023-7-14","281.38","277.01","285.30","276.31","120.06M","1.25%"
"2023-7-13","277.90","274.59","279.45","270.60","112.68M","2.17%"
"2023-7-12","271.99","276.32","276.52","271.46","95.67M","0.82%"
"2023-7-11","269.79","268.65","270.90","266.37","91.97M","0.07%"
"2023-7-10","269.61","276.47","277.52","265.10","119.43M","-1.76%"
"2023-7-7","274.43","278.43","280.78","273.77","113.88M","-0.76%"
"2023-7-6","276.54","278.09","279.97","272.88","120.71M","-2.10%"
"2023-7-5","282.48","278.82","283.85","277.60","131.53M","0.95%"
"2023-7-3","279.82","276.49","284.25","275.11","119.69M","6.90%"
"2023-6-30","261.77","260.60","264.45","259.89","112.62M","1.66%"
"2023-6-29","257.50","258.03","260.74","253.61","131.28M","0.49%"
"2023-6-28","256.24","249.70","259.88","248.89","159.77M","2.41%"
"2023-6-27","250.21","243.24","250.39","240.85","164.97M","3.80%"
"2023-6-26","241.05","250.06","258.37","240.70","179.99M","-6.06%"
"2023-6-23","256.60","259.29","262.45","252.80","177.46M","-3.03%"
"2023-6-22","264.61","250.77","265.00","248.25","166.88M","1.98%"
"2023-6-21","259.46","275.13","276.99","257.78","211.80M","-5.46%"
"2023-6-20","274.45","261.50","274.75","261.12","165.61M","5.34%"
"2023-6-16","260.54","258.92","263.60","257.21","167.92M","1.81%"
"2023-6-15","255.90","248.40","258.95","247.29","160.17M","-0.35%"
"2023-6-14","256.79","260.17","261.57","250.50","170.58M","-0.74%"
"2023-6-13","258.71","253.51","259.68","251.34","162.38M","3.55%"
"2023-6-12","249.83","247.94","250.97","244.59","150.74M","2.22%"
"2023-6-9","244.40","249.07","252.42","242.02","200.24M","4.06%"
"2023-6-8","234.86","224.22","235.23","223.01","164.49M","4.58%"
"2023-6-7","224.57","228.00","230.83","223.20","185.71M","1.47%"
"2023-6-6","221.31","216.14","221.91","212.53","146.91M","1.70%"
"2023-6-5","217.61","217.80","221.29","214.52","151.14M","1.70%"
"2023-6-2","213.97","210.15","217.25","209.75","164.40M","3.11%"
"2023-6-1","207.52","202.59","209.80","199.37","148.03M","1.76%"
"2023-5-31","203.93","199.78","203.95","195.12","150.71M","1.38%"
"2023-5-30","201.16","200.10","204.48","197.53","128.82M","4.14%"
"2023-5-26","193.17","184.62","198.60","184.53","162.06M","4.72%"
"2023-5-25","184.47","186.54","186.78","180.58","96.87M","0.86%"
"2023-5-24","182.90","182.23","184.22","178.22","137.61M","-1.54%"
"2023-5-23","185.77","186.20","192.96","185.26","156.95M","-1.64%"
"2023-5-22","188.87","180.70","189.32","180.11","132.00M","4.85%"
"2023-5-19","180.14","177.17","181.95","176.31","136.20M","1.84%"
"2023-5-18","176.89","174.22","177.06","172.45","109.52M","1.74%"
"2023-5-17","173.86","168.41","174.50","167.19","125.47M","4.41%"
"2023-5-16","166.52","165.65","169.52","164.35","98.29M","0.10%"
"2023-5-15","166.35","167.66","169.76","164.55","105.59M","-0.97%"
